reviewid,content,sentiment,product,price,delivery,service,app
9c8e3564-3f3d-4645-b257-fd5896c15e6c,Ship rẻ hàng cug tốt,positive,1,1,1,0,0
09a4751f-080a-401c-a7a1-a69d1a4b6d61,Chọn đối tác giao hàng tệ quá. J a T ở nha trang rất tệ,neutral,0,0,1,0,0
e2c67404-0d97-40e1-845b-c72ee9cd787a,rất tuyệt vời,positive,0,0,0,0,0
04ef2e1e-0f0c-499c-ba95-2f820f6122b4,Luôn đắt hơn shopee và lazada,neutral,0,1,0,0,0
95c4578f-c4c8-43f2-b650-cb167f706462,Không viết được tên người nhận bằng tiếng Việt có dấu. Quá kém. Nếu bán hàng cho người Việt thì học tiếng Việt là cần thiết. Đáng lẽ là tôi không cho sao nào cả.,negative,0,0,0,0,1
7b81d4b6-1db7-4cc5-9c8d-20ec8c31f0b2,"hàng đắt hơn lazada & sendo mà chất lượng tệ hơn,bó tay tiki, ace tẩy chay tiki đi",negative,1,1,0,0,0
87bc8aa2-9a23-47e5-9055-bda79e5c29af,"ứng dụng rất tiện ích,sp chất lượng",positive,1,0,0,0,1
595b9c2a-83dc-4b3f-bf70-c53246a1fb61,Giao hang nhanh ti la ok,positive,0,0,1,0,0
33726a6a-0b73-44f4-9043-21d111bc6226,"Giao hàng quá chậm, thua xa shopee và lazada",neutral,0,0,1,0,0
f99ff441-dcf9-4112-9800-e8ae73dbae90,ko bamg ben lazada :((((,negative,0,0,0,0,0
c07f5a9b-bf77-4e64-b6e4-905c974ad52d,Momo thanh toán tiện như vậy mà lại bỏ đi là sao Tiki??,negative,0,0,0,0,1
46c34fac-617c-41bc-ac37-803ec60d77bd,Mua sách thì rất okie. Nhưng mặt hàng khác thì ko giống với mẫu hàng đã đặt,neutral,1,0,0,0,0
30889e52-3cf6-49f1-af7e-6e47e0028164,"Giao hàng qúa chậm, lịch giao hàng cứ thay đổi liên tục như kiểu thích thì giao, dịch vụ chăm sóc khách hàng rất rất tệ👎👎👎👎👎👎👎",negative,0,0,1,1,0
c1167ba2-2f1e-412f-90e0-1dc575beb756,Mua hàng nó cứ báo hay xảy ra lổi Xem lại web,neutral,0,0,0,0,1
18795f0e-733c-46b4-9950-2122cc15c056,Tiki từ trước đến giờ mìh luôn tin tưởg hàg trên tiki nhưg mìh có mua đồng hồ thôg mih w46 nhưg shop gửi nhầm con w26 nên mìh đổi trả mà lâu quá trời luôn được 1 thág rồi mà vẫn chưa được nhân viên vẫn bảo chờ thềm không biết tiki bày đặt hay do như nào mìh cũng thấy mất lòg tin cho tiki với Chát với nhân viên vào 10 lần thì may ra vào được 1 lần lỗi không vào được hay tiki chặn tài khoản mìh Chán 0 muốn nói các bạn ạ,neutral,1,0,0,1,1
401f41da-4e5a-4b69-a9d4-039cc582518f,Rất là hay,positive,0,0,0,0,0
08d15d89-f4ae-4e6c-ba31-8745b4bbdbba,Lừa đảo người mua. Cái gì mà không hỗ trợ??? Shopee với Lazada nhiệt tình bao nhiêu thì tiki tệ hại bấy nhiêu. 0 sao thôi.,negative,0,0,0,1,0
5263c060-7dec-4128-b206-3a45ed6c54b9,"Mua thẻ cào nhưng lại nạp không được , ủa là sao , làm ăn gì kì vậy",negative,1,0,0,0,1
70994910-702d-4000-b1bf-f8235593a459,có khánh không,positive,0,0,0,0,0
4f265fac-2ebb-463a-8763-a8ef2359c437,Tôi thấy shop cần nhiều ưu đãi hơn để thứ hút người mua chứ mặt hàng cần mua mắt hơn giá thị trường quá thì sẽ ít người tải về,negative,1,1,0,0,0
959328d8-0c15-4be1-8b67-e1a0c11f5e91,Một số sản phẩm cóa thể chưa tốt và 1 số sản phẩm khá tốt hơn mog đợi Cần chỉh sửa và phát huy nja tiki,positive,1,0,0,0,0
40a17d1a-9d2f-4743-a055-cd338fa96781,App tiki càng ngày càng nặng càng đơ vào app mãi k load đc,positive,0,0,0,0,1
15ea7877-80cb-48a1-bee8-94fe7deaea67,"Kb tại sao mình k thể xem giỏ hàng đc, vào k hiện gì cả lúc trước rất thích tiki mua hàng cg ok nhưng hôm qua đến giờ mình muốn mua mà k thể nhìn đc sp trong giỏ",neutral,1,0,0,0,1
71a9f3c1-2898-4a4c-9676-dc1c4a61bf8b,Chợ sen đỏ cái gì cũng có chọn lựa thổi máy,positive,1,0,0,0,0
ac15458e-3a78-4b8b-9be8-f9585861accd,Sao không tải được app về máy nhỉ,positive,0,0,0,0,1
49b15ecc-cf3a-4fb5-bbce-a3f74532894d,Lừa độc giả,negative,0,0,0,0,0
08bf2e89-7131-407a-a33f-d21a3d8ab477,Binh thuong,neutral,0,0,0,0,0
c969d1dd-208b-47b2-8f79-5044239f996c,Giao hàng rẻ nhưng thực sự là rất rất lâu. Mình không biết điều gì sẽ giúp tiki trở thành kỳ lân của người Việt nhưng trải nghiệm mua sắm cảm giác rất không thoải mái so với những ứng dụng khác. App yêu cầu mình cập nhật địa chỉ nhưng chỉ riêng việc cập nhật địa chỉ không cũng rất phiền toái mà phải loay hoay mãi mới xong. Nói chung nhiều thứ nhỏ nhỏ nhưng trải nghiệm mua sắm trên tiki không có điều gì khiến mình hứng thú cả.,neutral,0,1,1,0,1
284353c2-7c36-4398-befd-92db865fab84,tiki có thanh toán khi nhận hàng không ạ???,neutral,0,0,0,0,1
bd57d91a-9dc3-4b54-8b7b-4908ce7c42ba,qua te.hang không chất lượng,negative,1,0,0,0,0
