reviewid,content,sentiment,product,price,delivery,service,app,source_file,risk_level,risk_score,label_count
048d2d2d-b9db-499d-8a27-a9548d121b54,"Đặc hàng ngày 25/9 đến 3/10 nhân viên gọi ra nhận hàng , đứng đợi cả buổi , không thấy người đâu , xong mình gọi lại hỏi thì hôm khác giao khách giục quá , bận việc gì thì bảo người ta 1 câu , kêu người ta đợi đã rồi không giao , Hàng trên tiki thì tạm được còn về phận vận chuyển thì quá tệ sơ với các ứng dụng khác . Từ bỏ tiki thôi , chúc tiki ngày càng phát triển .",negative,0,0,1,1,0,absa_annotation_batch_003.csv,high,7,2
e7e052fd-e148-46fa-8411-836dab9b37c5,"Mình rất thích về phương diện bán, sale các mặt hàng sách nhưng thật sự ứng dụng rất rất tệ. Gần đây rất hay bị lỗi, hôm kia quyển sách mình thích có sale, đêm đấy mình đăng mua không được, chỉ sale 1 đêm thôi, thế là bỏ lỡ. Mình từng mua cuốn Your Name, mua cùng thời gian với bạn mình, bạn mình thì có quà tặng phát hành là được bọc platics và bookmark còn mình thì không? Ok, i'm fine. Hỏi nhân viên đã lâu không 1 câu hồi đáp :). Mong Tiki xem lại, mình không cần gì, chỉ cần câu giải thích hợp lí thôi. Cảm ơn ạ.",neutral,1,1,0,1,1,absa_annotation_batch_001.csv,high,6,4
f9453aaa-9bfc-452a-9965-d4db8896c9f7,"Tiki thông báo tôi bị khoá tài khoản vì vi phạm chính sách gì đó, mà không hề có bất kỳ thông báo gì, chỉ tới khi nhấn giao hàng mới thông báo vài dòng sơ sài. Chỉ đến khi tôi đi hỏi cskh mới nhận được 1 câu là do lạm dụng mã khuyến mãi. Lạm dụng mã khuyến mãi là lạm dụng như thế nào? Mã khuyến mãi đặt ra không xài chẳng lẽ để trưng cho đẹp? Trải nghiệm người dùng không tốt nên tôi đã quyết định xoá app. ‐---------------------------------------------- Tiki đã trả lời và xử lý vụ khóa hợp lý.",negative,0,1,0,1,1,absa_annotation_batch_001.csv,high,6,3
edee00a7-77d2-4937-84df-d5d58fb1ad68,"Hệ thống giao hàng quá kém chất lượng, đặt hàng xong phải đợi cả tuần để nhận hàng. Đến ngày hẹn cũng phải đợi ở nhà từ sáng đến tối mới được nhận hàng. Tại sao k hẹn vào khung giờ cụ thể ? Có lần hẹn bạn ship vào 10h sáng hôm sau, kết quả đợi đến chiều vẫn k thấy gọi, gọi lại thì k được. Tôi không tin tưởng sử dụng dịch vụ từ tiki nữa.",negative,0,0,1,1,0,absa_annotation_batch_002.csv,high,6,2
2b954ed2-edb7-43c3-9286-ef39e3c56e05,"đơn hàng đặt từ 20/08 đến tận giữa tháng 10 ngâm kho và không có động thái giao hàng, liên hệ CSKH phản ánh cũng không giải quyết, tức tối phải hủy đơn và mất 2 tháng chờ cho đơn hàng giao với phạm vi 80km. Quá kinh khủng.",negative,0,0,1,1,0,absa_annotation_batch_001.csv,high,5,2
b2ed6bba-3af5-4987-b8e5-144f59be6845,"Thực sự nhân viên làm tôi chưa bao giờ bực như thế này , dặn giao ở địa chỉ này thì nhân viên ko tới giao , làm tôi chờ đến tận 7h tối mà chưa về nhà. ._. Nhân viên thực sự chưa tốt và tôi ko hài lòng",negative,0,0,1,1,0,absa_annotation_batch_002.csv,high,5,2
8f94863d-bbbf-4a43-85e3-abadcf8254a0,"Tiki giao hàng khá nhanh , thường là trước lúc dự kiến giao hàng nhưng như vậy lại đâm ra không biết Tiki giao lúc nào dẫn đến hủy hàng của khách , tiki nên thông báo chính xác giờ giao hàng trước 1 ngày hoặc ít hơn để khách tiện xử lý , bình thường ở nhà không giao vừa ra ngoài là gọi giao hàng . nên cho khách chọn khung giờ rảnh rỗi để lấy hàng , khắc phục được sẽ cho 5 sao . cảm ơn",negative,0,0,1,1,0,absa_annotation_batch_003.csv,high,5,2
44600cd0-5b46-42fb-ad7d-40b07542bcf1,Khâu khắc phục lỗi của sp cực lâu. Đã gửi đủ thông tin và bên tiki đã tiếp nhận nhưng trong 1 tuần vẫn chưa thấy gì,negative,0,0,0,1,0,absa_annotation_batch_001.csv,high,5,1
b5fcf445-9de8-4c35-a9b8-3086a442e969,"Hotline chăm sóc người bán gọi k ai nghe máy, gửi mail k thấy trả lời, rõ chán",negative,0,0,0,1,0,absa_annotation_batch_003.csv,high,5,1
9c44c408-da5a-48b5-8bd6-63e95270d917,"Dịch vụ giao hàng quá tệ, toàn giao vào những lúc mình bận họp. Hẹn giờ giao lại nhưng nhân viên giao hàng k để tâm, lại tới vào khung giờ mình ko lấy được rồi auto hủy đơn hàng ...",negative,1,0,1,1,1,absa_annotation_batch_001.csv,medium,4,4
