reviewid,content,sentiment,product,price,delivery,service,app,sentiment_original,sentiment_changed,content_polarity,mismatch_reason,flagged,product_prefill,price_prefill,delivery_prefill,service_prefill,app_prefill,prefill_review_note
0a1d918a-23b6-4b3b-9635-3bc095f4292e,Đinh xài thử mà nghe đồn dã man quá đàh thôi.,negative,0,0,0,0,0,negative,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
df588682-c657-426d-9bc4-fb7a181651cc,vào app hay bị thoát ra ngoài,neutral,0,0,0,0,1,neutral,False,unclear,,False,0,0,0,0,1,
a7a279b7-d582-4210-9ab0-ca4d599b11ba,ứng dụng rất tốt Nó giúp tôi đặt hàng nhanh chóng nhanh nhất có thể cảm ơn nhà phát triển đã lập trình ra ứng dụng này,positive,1,0,0,0,1,positive,False,positive,,False,1,0,0,0,1,
4090144b-cb56-446b-8e52-55f1899e3912,"Đề nghị sendo xem xét lại cách giao hàng cho khách,giao hàng vì mà lâu quá",neutral,1,0,1,0,0,neutral,False,unclear,,False,1,0,1,0,0,
ce0af934-a3e0-46ea-9285-30ff10669bc1,Làm ăn chán quá,negative,0,0,0,0,0,negative,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
80dbdfba-351b-48cf-a1e4-cd695cbd3c9a,"Không biết đánh giá tiki có đọc ko, chứ nói thật ko biết cái ứng dụng này có bao nhiêu ng thiết kế mà để cái sản phẩm tràng lan ra nhìn quá rối mắt, nhiều sản phẩm giống nhau chỉ khác màu sắc ko gom vào 1 cho dễ nhìn. Nhiều lúc nào nhìn chán chẳng muốn xem, hãy qua các trang lazada hay shoppe xem họ làm kìa. Đã cạnh tranh thì phải biết học hỏi những cái hay của họ chứ",negative,1,1,0,0,1,negative,False,unclear,,False,1,1,0,0,1,
ef12f3e9-a0c2-4add-b6fc-e931510bbd9f,Oder hàng nhanh chóng \q,positive,1,0,0,0,0,positive,False,unclear,,False,1,0,0,0,0,
e19a753f-1ddd-43b3-8c1a-1020e2cd7ad1,Không thích cách giao hàng và thời gian giao hàng của giao hành nhanh (rất chậm),positive,1,0,1,0,0,neutral,True,positive,score-based sentiment is neutral but content looks positive,True,1,0,1,0,0,review sentiment auto-adjusted; manual review recommended
32e02545-5a9e-4161-b15f-0344d37bb22d,Các loại mặt hàng chưa phong phú được như taobao bên Trung Quốc tại sao các bạn k học hỏi bên trang của các bạn bên Trung Quốc Cần thêm phần tìm kiếm bằng Hình ảnh.chỉ cần có ảnh là các bạn có thể quét ảnh và tìm ra mẫu hàng mình yêu thích đỡ mất thời gian.mong trang mua sắm của mình phát triển thêm,neutral,1,0,0,0,0,neutral,False,unclear,,False,1,0,0,0,0,
6d280899-d473-4569-8c26-6bd96ab4b0bf,Lừa đảo nhiều,negative,0,0,0,0,0,negative,False,negative,,False,0,0,0,0,0,all aspects are 0; verify if review is general
cd762868-503c-43bd-917f-0a7799220afd,1 số sản phẩm khi tìm trên web thì vẫn thấy nhưng tìm trên app thì lại báo là không có. Mong tiki khắc phục lỗi này,negative,1,0,0,0,1,negative,False,unclear,,False,1,0,0,0,1,
068409bc-0073-4edc-b6cc-a53a7847c543,"làm gì mà cập nhật suốt thế,ức chế quá,dù ít vô mua nhưng ai rảnh vs bộ nhớ đâu cập nhật hoài :))",neutral,0,0,0,0,1,neutral,False,unclear,,False,0,0,0,0,1,
fd5ed43b-8bec-43be-b519-bf10b21d6373,Sản phẩm dễ sử dụng,positive,1,0,0,0,0,positive,False,positive,,False,1,0,0,0,0,
e778d1b2-abfa-4867-8ef3-7be98e7588c1,"Tôi thay điện thoại mới, tải app lại chỉ tới 71% là không tải được nữa , làm sao đây",neutral,0,0,0,0,1,neutral,False,unclear,,False,0,0,0,0,1,
289648e4-8f2d-419a-a411-dacf62dc4a6d,"Khuyết điểm: App chạy chậm hơn trước rất nhiều. Sản phẩm còn hạn chế không đa dạng như Shopee và nhiều nơi khác. Nhầm sản phẩm chất lượng không xứng với giá tiền. Đôi khi mua phải đồ ở trong kho quá lâu nên nhìn rất mất thẩm mỹ. Nhiều mặt hàng bán với số lượng nhiều không thể mua lẻ được. Ưu điểm: Giao hàng nhanh, tiền ship rẻ hơn nơi khác, nhân viên nhiệt tình. Nhiều mặt hàng giá rẻ hơn thị trường.",positive,1,1,1,1,1,neutral,True,positive,score-based sentiment is neutral but content looks positive,True,1,1,1,1,1,review sentiment auto-adjusted; manual review recommended
c241495a-435c-4fa1-a1a5-d50c0e71d6e9,Tiki nên lấy gương mặt quảng cáo như là Trấn Thành chẳng hạn. Tôi chẳng ưa trường giang tí nào.,negative,0,0,0,0,0,negative,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
